Date,kWh produced,On/Off,location,type,ID
2016-01-01,64.100808,1,269,1,1
2016-01-02,12.348856,1,269,1,1
2016-01-03,16.707593,1,269,1,1
2016-01-04,9.014957,1,269,1,1
2016-01-05,23.034322,1,269,1,1
2016-01-06,13.39579,1,269,1,1
2016-01-07,10.153584,1,269,1,1
2016-01-08,69.586568,1,269,1,1
2016-01-09,38.016398,1,269,1,1
2016-01-10,42.037045,1,269,1,1
2016-01-11,26.603325,1,269,1,1
2016-01-12,26.77992,1,269,1,1
2016-01-13,51.859963,1,269,1,1
2016-01-14,25.545486,1,269,1,1
2016-01-15,32.309803,1,269,1,1
2016-01-16,61.783417,1,269,1,1
2016-01-17,64.31921,1,269,1,1
2016-01-18,115.143556,1,269,1,1
2016-01-19,46.614246,1,269,1,1
2016-01-20,57.314701,1,269,1,1
2016-01-21,4.881541,1,269,1,1
2016-01-22,45.205405,1,269,1,1
2016-01-23,66.994842,1,269,1,1
2016-01-24,11.76575,1,269,1,1
2016-01-25,83.217699,1,269,1,1
2016-01-26,60.338548,1,269,1,1
2016-01-27,35.921523,1,269,1,1
2016-01-28,108.837846,1,269,1,1
2016-01-29,20.452916,1,269,1,1
2016-01-30,33.754084,1,269,1,1
2016-01-31,52.956393,1,269,1,1
2016-02-01,63.278667,1,269,1,1
2016-02-02,62.08822,1,269,1,1
2016-02-03,61.24755,1,269,1,1
2016-02-04,34.088109,1,269,1,1
2016-02-05,31.776561,1,269,1,1
2016-02-06,81.806837,1,269,1,1
2016-02-07,84.382563,1,269,1,1
2016-02-08,86.3628,1,269,1,1
2016-02-09,41.037804,1,269,1,1
2016-02-10,74.489665,1,269,1,1
2016-02-11,111.897022,1,269,1,1
2016-02-12,108.070583,1,269,1,1
2016-02-13,64.070455,1,269,1,1
2016-02-14,47.591656,1,269,1,1
2016-02-15,147.465621,1,269,1,1
2016-02-16,195.806869,1,269,1,1
2016-02-17,193.534978,1,269,1,1
2016-02-18,64.845461,1,269,1,1
2016-02-19,117.373307,1,269,1,1
2016-02-20,52.293402,1,269,1,1
2016-02-21,7.654111,1,269,1,1
2016-02-22,15.81816,1,269,1,1
2016-02-23,150.129465,1,269,1,1
2016-02-24,141.046714,1,269,1,1
2016-02-25,119.393554,1,269,1,1
