location,Date,level_B1,level_B2,level_DO,level_NH3,level_Pb,level_SO4,level_TOC
X,2016-01-01,139.252019,162.532646,8.448614,0.080867,5.519584,5.520065,2
X,2016-01-02,74.539639,149.577626,9.318496,0.09387993,3.641024,34.13293,2
X,2016-01-03,148.460228,97.155684,8.298484,0.09065424,8.673581,28.54939,3
X,2016-01-04,162.666606,121.81381,8.012089,0.08610739,5.321139,11.47611,6
X,2016-01-05,167.728965,128.026467,8.779783,0.08936647,8.162737,98.88146,4
X,2016-01-06,113.613853,162.374374,7.726517,0.1061779,4.09072,1.042928,7
X,2016-01-07,81.35542,112.759587,8.807884,0.1069078,8.899032,146.7946,10
X,2016-01-08,201.704005,120.090651,8.680256,0.09228033,8.870963,7.679175,4
X,2016-01-09,136.238747,198.566512,8.881995,0.09223672,3.320293,14.36594,4
X,2016-01-10,145.157728,128.00166,8.876668,0.08783449,5.013859,97.37863,7
X,2016-01-11,100.963836,148.099082,8.767896,0.08179108,8.90609,67.8122,5
X,2016-01-12,142.896291,134.788777,9.660865,0.08757324,4.201441,80.76916,5
X,2016-01-13,139.936387,159.799745,8.641969,0.08259766,7.963982,12.21413,7
X,2016-01-14,137.27332,106.407017,9.01209,0.08538097,4.564317,24.22296,7
X,2016-01-15,147.145646,157.061275,10.10067,0.09385686,5.079181,282.5265,9
X,2016-01-16,78.427315,137.666596,8.188717,0.08244062,7.228777,42.51632,5
X,2016-01-17,34.109721,112.766602,7.861508,0.08354364,3.162819,14.77894,5
X,2016-01-18,61.124079,117.07988,7.899008,0.09292211,5.100508,36.03775,5
X,2016-01-19,177.710768,83.781067,7.898089,0.104883,6.518782,40.88218,5
X,2016-01-20,137.731936,136.253288,9.284367,0.08857735,3.372669,140.0579,4
X,2016-01-21,146.875923,109.184509,9.555253,0.0888846,3.544694,21.50477,6
X,2016-01-22,120.911606,168.557151,9.352753,0.07196721,6.490774,103.0558,8
X,2016-01-23,137.960648,171.067472,7.834797,0.07869278,6.505715,28.37727,6
X,2016-01-24,161.818857,198.131751,9.398876,0.0793929,5.257859,53.44441,7
X,2016-01-25,174.553504,177.931017,11.24268,0.09184679,3.403718,135.8159,14
X,2016-01-26,87.200485,165.0174,9.12019,0.08777673,4.236684,3.467333,8
X,2016-01-27,117.300096,179.848034,8.99049,0.08707752,5.311214,24.90298,3
X,2016-01-28,119.219083,147.823986,8.836352,0.09013434,8.859678,14.05689,5
X,2016-01-29,151.872198,199.627752,7.825352,0.08009027,5.370576,85.30884,9
X,2016-01-30,132.639593,127.454003,8.420187,0.1138683,8.508526,28.21115,8
X,2016-01-31,143.396117,130.161413,8.891175,0.08428783,8.246899,12.58788,4
X,2016-02-01,147.251666,171.996711,7.770964,0.07930512,3.351734,7.367947,6
X,2016-02-02,109.237307,134.45516,7.962627,0.094746,6.122977,8.52661,4
X,2016-02-03,165.636276,236.385011,11.11754,0.07522894,7.577995,135.8999,5
X,2016-02-04,77.898191,95.511478,6.718164,0.09888367,4.61365,1.036937,11
X,2016-02-05,161.862748,149.432885,6.466588,0.09751505,8.730405,92.34619,9
