location,Date,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24
290,1951-01-01,175,41,46,93,20,15,1,,,10,-31,1,37,19,,,,,,,,,,9930,9989,,9907,,,,,,7,,,,,,
290,1951-01-02,158,15,15,62,1,0,17,,,16,3,8,28,15,,,,,,,,,,9900,9938,,9874,,,,,,8,,,,,,
290,1951-01-03,208,15,15,36,20,0,1,,,11,-2,21,23,13,,,,,,,,,,10027,10110,,9941,,,,,,8,,,,,,
290,1951-01-04,198,62,67,93,14,41,1,,,18,5,6,33,24,,,,,,,,,,10126,10145,,10113,,,,,,8,,,,,,
290,1951-01-05,202,67,72,98,24,26,6,,,58,24,1,85,23,,,,,,,,,,10085,10120,,10057,,,,,,8,,,,,,
290,1951-01-06,198,46,51,103,24,10,8,,,74,60,4,90,24,,,,,,,,,,10071,10107,,10020,,,,,,8,,,,,,
290,1951-01-07,224,108,123,139,22,93,1,,,68,54,20,92,2,,,,,,,,,,10036,10105,,9988,,,,,,8,,,,,,
290,1951-01-08,212,62,67,93,1,21,6,,,60,39,5,76,16,,,,,,,,,,10106,10125,,10067,,,,,,8,,,,,,
290,1951-01-09,222,62,67,98,11,15,23,,,40,-3,24,65,9,,,,,,,,,,10098,10171,,10041,,,,,,6,,,,,,
290,1951-01-10,161,31,31,93,20,0,2,,,26,-25,4,68,21,,,,,,,,,,10119,10171,,10041,,,,,,6,,,,,,
290,1951-01-11,211,87,87,103,5,62,2,,,68,49,1,81,5,,,,,,,,,,9966,10038,,9907,,,,,,8,,,,,,
290,1951-01-12,204,46,46,77,1,26,17,,,47,23,23,77,1,,,,,,,,,,9938,9953,,9907,,,,,,5,,,,,,
290,1951-01-13,212,57,57,87,16,26,1,,,38,15,24,58,12,,,,,,,,,,9960,10011,,9934,,,,,,6,,,,,,
290,1951-01-14,235,93,93,144,17,36,7,,,38,4,3,64,13,,,,,,,,,,10044,10063,,10017,,,,,,6,,,,,,
290,1951-01-15,267,57,67,113,4,15,9,,,41,23,19,57,3,,,,,,,,,,10061,10159,,10001,,,,,,7,,,,,,
290,1951-01-16,273,36,36,87,2,15,17,,,38,20,18,63,13,,,,,,,,,,10266,10314,,10169,,,,,,6,,,,,,
290,1951-01-17,213,57,62,103,14,26,2,,,56,22,1,88,18,,,,,,,,,,10144,10278,,10065,,,,,,8,,,,,,
290,1951-01-18,282,103,108,180,11,51,3,,,60,43,18,80,9,,,,,,,,,,10005,10059,,9959,,,,,,8,,,,,,
290,1951-01-19,285,77,82,134,1,31,23,,,52,32,3,67,12,,,,,,,,,,10100,10120,,10064,,,,,,8,,,,,,
290,1951-01-20,300,41,41,67,2,10,22,,,46,3,24,66,13,,,,,,,,,,10119,10177,,10078,,,,,,7,,,,,,
290,1951-01-21,0,0,5,15,4,0,6,,,25,-1,1,51,14,,,,,,,,,,10224,10247,,10177,,,,,,7,,,,,,
290,1951-01-22,226,26,26,51,13,0,1,,,56,25,1,75,13,,,,,,,,,,10192,10226,,10176,,,,,,8,,,,,,
290,1951-01-23,180,5,5,26,1,0,9,,,52,23,24,73,13,,,,,,,,,,10194,10232,,10169,,,,,,8,,,,,,
290,1951-01-24,69,15,15,41,17,0,1,,,29,10,4,54,12,,,,,,,,,,10222,10237,,10197,,,,,,6,,,,,,
290,1951-01-25,81,26,26,36,3,10,2,,,11,-10,19,31,1,,,,,,,,,,10143,10191,,10110,,,,,,8,,,,,,
290,1951-01-26,115,21,21,31,18,10,7,,,12,-8,2,31,14,,,,,,,,,,10094,10108,,10074,,,,,,8,,,,,,
290,1951-01-27,127,10,10,26,6,0,2,,,33,7,1,63,14,,,,,,,,,,10037,10068,,10019,,,,,,7,,,,,,
290,1951-01-28,42,10,10,31,8,0,1,,,4,-13,6,20,14,,,,,,,,,,10067,10124,,10026,,,,,,7,,,,,,
290,1951-01-29,33,21,21,36,11,0,2,,,1,-9,19,11,1,,,,,,,,,,10180,10219,,10129,,,,,,8,,,,,,
290,1951-01-30,42,5,5,21,11,0,1,,,7,-5,21,26,13,,,,,,,,,,10195,10214,,10164,,,,,,8,,,,,,
290,1951-01-31,117,5,5,15,5,0,3,,,0,-12,9,9,14,,,,,,,,,,10167,10198,,10147,,,,,,8,,,,,,
290,1951-02-01,321,5,5,21,8,0,3,,,12,-7,1,32,15,,,,,,,,,,10237,10258,,10199,,,,,,8,,,,,,
290,1951-02-02,0,0,5,10,7,0,1,,,13,-18,22,38,14,,,,,,,,,,10225,10258,,10167,,,,,,7,,,,,,
290,1951-02-03,111,21,21,51,22,0,1,,,4,-14,8,24,22,,,,,,,,,,10077,10161,,9998,,,,,,7,,,,,,
290,1951-02-04,148,67,67,103,24,41,3,,,43,2,4,87,23,,,,,,,,,,9884,9992,,9788,,,,,,7,,,,,,
290,1951-02-05,171,36,41,103,2,10,19,,,62,37,24,88,14,,,,,,,,,,9845,9905,,9791,,,,,,5,,,,,,
290,1951-02-06,189,41,41,62,5,26,15,,,45,21,24,67,12,,,,,,,,,,9948,9998,,9908,,,,,,3,,,,,,
290,1951-02-07,183,36,41,67,13,15,22,,,34,8,4,65,11,,,,,,,,,,10047,10074,,10006,,,,,,3,,,,,,
290,1951-02-08,175,62,62,87,13,26,1,,,60,16,2,111,24,,,,,,,,,,10005,10067,,9965,,,,,,6,,,,,,
290,1951-02-09,194,72,72,103,1,15,24,,,95,64,24,122,2,,,,,,,,,,10045,10120,,9973,,,,,,7,,,,,,
290,1951-02-10,141,5,5,21,2,0,9,,,46,16,20,69,1,,,,,,,,,,10136,10158,,10121,,,,,,7,,,,,,
290,1951-02-11,95,21,21,46,8,0,2,,,34,8,5,55,23,,,,,,,,,,10111,10149,,10093,,,,,,7,,,,,,
290,1951-02-12,141,5,10,21,11,0,3,,,51,22,7,107,14,,,,,,,,,,10126,10136,,10109,,,,,,4,,,,,,
290,1951-02-13,78,36,36,62,15,10,1,,,26,0,24,53,14,,,,,,,,,,10084,10123,,10063,,,,,,6,,,,,,
290,1951-02-14,96,21,26,51,6,10,12,,,16,-1,1,47,24,,,,,,,,,,10060,10084,,10047,,,,,,8,,,,,,
