Date,kWh produced,On/Off,location,type,ID
2016-01-01,10.880295,1,269,A,1
2016-01-02,46.604378,1,269,A,1
2016-01-03,44.898264,1,269,A,1
2016-01-04,21.791253,1,269,A,1
2016-01-05,14.500228,1,269,A,1
2016-01-06,33.31075,1,269,A,1
2016-01-07,57.610855,1,269,A,1
2016-01-08,57.988601,1,269,A,1
2016-01-09,33.649387,1,269,A,1
2016-01-10,60.417343,1,269,A,1
2016-01-11,21.065838,1,269,A,1
2016-01-12,57.177998,1,269,A,1
2016-01-13,26.247001,1,269,A,1
2016-01-14,53.821778,1,269,A,1
2016-01-15,9.160555,1,269,A,1
2016-01-16,52.819591,1,269,A,1
2016-01-17,4.536364,1,269,A,1
2016-01-18,2.843975,1,269,A,1
2016-01-19,6.175953,1,269,A,1
2016-01-20,2.435151,1,269,A,1
2016-01-21,4.439391,1,269,A,1
2016-01-22,17.452897,1,269,A,1
2016-01-23,19.407493,1,269,A,1
2016-01-24,47.635343,1,269,A,1
2016-01-25,45.782869,1,269,A,1
2016-01-26,0.0,0,269,A,1
2016-01-27,0.0,0,269,A,1
2016-01-28,57.307615,1,269,A,1
2016-01-29,0.0,0,269,A,1
2016-01-30,0.0,0,269,A,1
2016-01-31,48.06488,1,269,A,1
2016-02-01,0.0,0,269,A,1
2016-02-02,0.0,0,269,A,1
2016-02-03,47.262178,1,269,A,1
2016-02-04,11.46959,1,269,A,1
2016-02-05,50.068209,1,269,A,1
2016-02-06,61.911627,1,269,A,1
2016-02-07,0.0,0,269,A,1
2016-02-08,0.0,0,269,A,1
2016-02-09,61.977628,1,269,A,1
2016-02-10,50.602253,1,269,A,1
2016-02-11,16.414522,1,269,A,1
2016-02-12,4.301202,1,269,A,1
2016-02-13,44.93556,1,269,A,1
2016-02-14,59.335848,1,269,A,1
2016-02-15,21.935492,1,269,A,1
2016-02-16,1.298524,1,269,A,1
2016-02-17,3.692428,1,269,A,1
2016-02-18,10.475974,1,269,A,1
2016-02-19,26.385838,1,269,A,1
2016-02-20,0.0,0,269,A,1
2016-02-21,0.0,0,269,A,1
2016-02-22,49.893945,1,269,A,1
2016-02-23,14.298479,1,269,A,1
2016-02-24,6.484936,1,269,A,1
2016-02-25,11.466072,1,269,A,1
2016-02-26,1.745728,1,269,A,1
2016-02-27,26.758751,1,269,A,1
2016-02-28,19.713848,1,269,A,1
2016-02-29,7.023767,1,269,A,1
2016-03-01,53.522192,1,269,A,1
2016-03-02,55.624801,1,269,A,1
2016-03-03,8.900518,1,269,A,1
2016-03-04,20.66063,1,269,A,1
2016-03-05,0.0,0,269,A,1
2016-03-06,2.05346,1,269,A,1
2016-03-07,2.672018,1,269,A,1
2016-03-08,10.914725,1,269,A,1
2016-03-09,39.573654,1,269,A,1
2016-03-10,18.525691,1,269,A,1
2016-03-11,15.627632,1,269,A,1
2016-03-12,7.644181,1,269,A,1
2016-03-13,28.581094,1,269,A,1
2016-03-14,30.603179,1,269,A,1
2016-03-15,10.067942,1,269,A,1
2016-03-16,42.426126,1,269,A,1
2016-03-17,18.508318,1,269,A,1
2016-03-18,12.068617,1,269,A,1
2016-03-19,19.316389,1,269,A,1
2016-03-20,15.661886,1,269,A,1
2016-03-21,21.551116,1,269,A,1
2016-03-22,27.32098,1,269,A,1
2016-03-23,16.259986,1,269,A,1
2016-03-24,16.476512,1,269,A,1
2016-03-25,37.549238,1,269,A,1
2016-03-26,60.623582,1,269,A,1
2016-03-27,61.324882,1,269,A,1
2016-03-28,0.0,0,269,A,1
2016-03-29,61.717064,1,269,A,1
2016-03-30,46.264328,1,269,A,1
2016-03-31,7.808407,1,269,A,1
2016-04-01,2.398552,1,269,A,1
2016-04-02,4.337106,1,269,A,1
2016-04-03,15.79064,1,269,A,1
2016-04-04,16.266243,1,269,A,1
2016-04-05,7.315021,1,269,A,1
2016-04-06,61.863046,1,269,A,1
2016-04-07,58.57684,1,269,A,1
2016-04-08,4.279631,1,269,A,1
2016-04-09,12.767813,1,269,A,1
2016-04-10,9.86943,1,269,A,1
2016-04-11,55.46996,1,269,A,1
2016-04-12,8.63151,1,269,A,1
2016-04-13,2.461357,1,269,A,1
2016-04-14,2.92746,1,269,A,1
2016-04-15,12.374681,1,269,A,1
2016-04-16,60.677923,1,269,A,1
2016-04-17,12.001975,1,269,A,1
2016-04-18,52.229638,1,269,A,1
2016-04-19,28.757906,1,269,A,1
2016-04-20,6.380548,1,269,A,1
2016-04-21,25.422636,1,269,A,1
2016-04-22,24.454066,1,269,A,1
2016-04-23,39.675538,1,269,A,1
2016-04-24,39.793445,1,269,A,1
2016-04-25,38.809308,1,269,A,1
2016-04-26,62.025543,1,269,A,1
2016-04-27,29.024114,1,269,A,1
2016-04-28,10.067401,1,269,A,1
2016-04-29,59.820678,1,269,A,1
2016-04-30,13.761868,1,269,A,1
2016-05-01,3.445028,1,269,A,1
2016-05-02,19.12671,1,269,A,1
2016-05-03,24.441654,1,269,A,1
2016-05-04,1.804205,1,269,A,1
2016-05-05,16.858917,1,269,A,1
2016-05-06,10.074731,1,269,A,1
2016-05-07,11.629925,1,269,A,1
2016-05-08,41.89163,1,269,A,1
2016-05-09,51.362327,1,269,A,1
2016-05-10,11.065308,1,269,A,1
2016-05-11,17.325211,1,269,A,1
2016-05-12,55.982471,1,269,A,1
2016-05-13,56.350863,1,269,A,1
2016-05-14,55.248777,1,269,A,1
2016-05-15,48.244052,1,269,A,1
2016-05-16,14.893345,1,269,A,1
2016-05-17,7.932299,1,269,A,1
2016-05-18,8.657399,1,269,A,1
2016-05-19,6.01685,1,269,A,1
2016-05-20,22.994445,1,269,A,1
2016-05-21,41.396709,1,269,A,1
2016-05-22,5.054923,1,269,A,1
2016-05-23,51.38237,1,269,A,1
2016-05-24,33.914411,1,269,A,1
2016-05-25,1.514006,1,269,A,1
2016-05-26,2.104541,1,269,A,1
2016-05-27,18.914497,1,269,A,1
2016-05-28,7.618615,1,269,A,1
2016-05-29,39.697051,1,269,A,1
2016-05-30,48.981149,1,269,A,1
2016-05-31,7.464516,1,269,A,1
2016-06-01,35.598308,1,269,A,1
2016-06-02,41.585228,1,269,A,1
2016-06-03,3.943013,1,269,A,1
2016-06-04,5.722449,1,269,A,1
2016-06-05,19.435207,1,269,A,1
2016-06-06,10.106855,1,269,A,1
2016-06-07,8.166725,1,269,A,1
2016-06-08,9.435857,1,269,A,1
2016-06-09,9.492802,1,269,A,1
2016-06-10,3.346574,1,269,A,1
2016-06-11,3.023182,1,269,A,1
2016-06-12,1.336882,1,269,A,1
2016-06-13,11.12149,1,269,A,1
2016-06-14,9.257941,1,269,A,1
2016-06-15,3.846566,1,269,A,1
2016-06-16,2.46733,1,269,A,1
2016-06-17,5.96328,1,269,A,1
2016-06-18,26.014313,1,269,A,1
2016-06-19,16.926041,1,269,A,1
2016-06-20,53.513018,1,269,A,1
2016-06-21,8.088479,1,269,A,1
2016-06-22,6.565131,1,269,A,1
2016-06-23,3.895482,1,269,A,1
2016-06-24,8.933224,1,269,A,1
2016-06-25,1.785135,1,269,A,1
2016-06-26,16.695465,1,269,A,1
2016-06-27,25.619991,1,269,A,1
2016-06-28,4.543076,1,269,A,1
2016-06-29,44.577069,1,269,A,1
2016-06-30,28.903938,1,269,A,1
2016-07-01,54.726601,1,269,A,1
2016-07-02,53.005866,1,269,A,1
2016-07-03,15.986461,1,269,A,1
2016-07-04,1.617397,1,269,A,1
2016-07-05,52.925337,1,269,A,1
2016-07-06,18.594158,1,269,A,1
2016-07-07,9.038075,1,269,A,1
2016-07-08,19.980303,1,269,A,1
2016-07-09,11.133518,1,269,A,1
2016-07-10,31.407072,1,269,A,1
2016-07-11,65.338959,1,269,A,1
2016-07-12,8.894738,1,269,A,1
2016-07-13,5.045769,1,269,A,1
2016-07-14,27.308102,1,269,A,1
2016-07-15,16.932877,1,269,A,1
2016-07-16,15.898499,1,269,A,1
2016-07-17,14.449409,1,269,A,1
2016-07-18,2.362655,1,269,A,1
2016-07-19,2.35174,1,269,A,1
2016-07-20,11.386399,1,269,A,1
2016-07-21,6.091158,1,269,A,1
2016-07-22,2.446659,1,269,A,1
2016-07-23,5.480671,1,269,A,1
2016-07-24,2.009007,1,269,A,1
2016-07-25,9.164075,1,269,A,1
2016-07-26,2.945654,1,269,A,1
2016-07-27,25.784332,1,269,A,1
2016-07-28,5.915228,1,269,A,1
2016-07-29,30.821935,1,269,A,1
2016-07-30,4.35926,1,269,A,1
2016-07-31,11.275252,1,269,A,1
2016-08-01,6.376782,1,269,A,1
2016-08-02,9.568462,1,269,A,1
2016-08-03,60.120506,1,269,A,1
2016-08-04,48.360435,1,269,A,1
2016-08-05,16.578169,1,269,A,1
2016-08-06,8.191239,1,269,A,1
2016-08-07,47.277584,1,269,A,1
2016-08-08,49.724117,1,269,A,1
2016-08-09,11.896746,1,269,A,1
2016-08-10,8.463424,1,269,A,1
2016-08-11,38.905113,1,269,A,1
2016-08-12,34.925232,1,269,A,1
2016-08-13,18.860016,1,269,A,1
2016-08-14,2.580249,1,269,A,1
2016-08-15,3.359996,1,269,A,1
2016-08-16,12.977107,1,269,A,1
2016-08-17,17.945139,1,269,A,1
2016-08-18,15.735701,1,269,A,1
2016-08-19,7.335732,1,269,A,1
2016-08-20,44.971334,1,269,A,1
2016-08-21,46.432764,1,269,A,1
2016-08-22,34.676968,1,269,A,1
2016-08-23,2.914413,1,269,A,1
2016-08-24,3.96212,1,269,A,1
2016-08-25,1.78157,1,269,A,1
2016-08-26,3.524489,1,269,A,1
2016-08-27,30.820098,1,269,A,1
2016-08-28,26.876647,1,269,A,1
2016-08-29,9.313697,1,269,A,1
2016-08-30,1.28231,1,269,A,1
2016-08-31,2.984066,1,269,A,1
2016-09-01,4.077685,1,269,A,1
2016-09-02,17.664555,1,269,A,1
2016-09-03,11.221163,1,269,A,1
2016-09-04,61.36249,1,269,A,1
2016-09-05,6.673772,1,269,A,1
2016-09-06,2.66264,1,269,A,1
2016-09-07,1.663259,1,269,A,1
2016-09-08,9.780782,1,269,A,1
2016-09-09,3.936784,1,269,A,1
2016-09-10,4.650353,1,269,A,1
2016-09-11,2.082231,1,269,A,1
2016-09-12,2.701141,1,269,A,1
2016-09-13,4.134119,1,269,A,1
2016-09-14,6.07856,1,269,A,1
2016-09-15,17.137013,1,269,A,1
2016-09-16,12.318072,1,269,A,1
2016-09-17,3.095493,1,269,A,1
2016-09-18,14.315604,1,269,A,1
2016-09-19,1.720451,1,269,A,1
2016-09-20,1.400073,1,269,A,1
2016-09-21,2.064626,1,269,A,1
2016-09-22,2.364044,1,269,A,1
2016-09-23,6.050286,1,269,A,1
2016-09-24,8.228606,1,269,A,1
2016-09-25,20.551362,1,269,A,1
2016-09-26,0.0,0,269,A,1
2016-09-27,7.153519,1,269,A,1
2016-09-28,60.914382,1,269,A,1
2016-09-29,64.158595,1,269,A,1
2016-09-30,20.169127,1,269,A,1
2016-10-01,10.173371,1,269,A,1
2016-10-02,38.125349,1,269,A,1
2016-10-03,10.81078,1,269,A,1
2016-10-04,26.869009,1,269,A,1
2016-10-05,34.619023,1,269,A,1
2016-10-06,25.330522,1,269,A,1
2016-10-07,19.573164,1,269,A,1
2016-10-08,6.250611,1,269,A,1
2016-10-09,0.0,0,269,A,1
2016-10-10,1.349239,1,269,A,1
2016-10-11,3.535803,1,269,A,1
2016-10-12,32.082021,1,269,A,1
2016-10-13,53.590356,1,269,A,1
2016-10-14,44.785425,1,269,A,1
2016-10-15,8.574362,1,269,A,1
2016-10-16,6.30351,1,269,A,1
2016-10-17,6.569388,1,269,A,1
2016-10-18,40.491212,1,269,A,1
2016-10-19,26.979528,1,269,A,1
2016-10-20,7.873148,1,269,A,1
2016-10-21,2.883194,1,269,A,1
2016-10-22,2.474802,1,269,A,1
2016-10-23,1.643893,1,269,A,1
2016-10-24,13.215868,1,269,A,1
2016-10-25,1.701528,1,269,A,1
2016-10-26,6.346232,1,269,A,1
2016-10-27,33.393488,1,269,A,1
2016-10-28,13.503345,1,269,A,1
2016-10-29,0.0,0,269,A,1
2016-10-30,0.0,0,269,A,1
2016-10-31,0.0,0,269,A,1
2016-11-01,3.116506,1,269,A,1
2016-11-02,10.752897,1,269,A,1
2016-11-03,10.02451,1,269,A,1
2016-11-04,32.029729,1,269,A,1
2016-11-05,13.285745,1,269,A,1
2016-11-06,19.838077,1,269,A,1
2016-11-07,16.900468,1,269,A,1
2016-11-08,2.49438,1,269,A,1
2016-11-09,9.503313,1,269,A,1
2016-11-10,5.857878,1,269,A,1
2016-11-11,15.563145,1,269,A,1
2016-11-12,7.408926,1,269,A,1
2016-11-13,3.55954,1,269,A,1
2016-11-14,21.62204,1,269,A,1
2016-11-15,29.326081,1,269,A,1
2016-11-16,45.900887,1,269,A,1
2016-11-17,61.552115,1,269,A,1
2016-11-18,63.654483,1,269,A,1
2016-11-19,51.125684,1,269,A,1
2016-11-20,0.0,0,269,A,1
2016-11-21,27.073707,1,269,A,1
2016-11-22,60.245374,1,269,A,1
2016-11-23,6.559107,1,269,A,1
2016-11-24,57.504571,1,269,A,1
2016-11-25,39.079906,1,269,A,1
2016-11-26,1.927277,1,269,A,1
2016-11-27,6.081116,1,269,A,1
2016-11-28,4.320618,1,269,A,1
2016-11-29,0.0,0,269,A,1
2016-11-30,21.260208,1,269,A,1
2016-12-01,20.045196,1,269,A,1
2016-12-02,3.315614,1,269,A,1
2016-12-03,0.0,0,269,A,1
2016-12-04,1.938384,1,269,A,1
2016-12-05,0.0,0,269,A,1
2016-12-06,1.686059,1,269,A,1
2016-12-07,45.065295,1,269,A,1
2016-12-08,59.348383,1,269,A,1
2016-12-09,43.572826,1,269,A,1
2016-12-10,44.585602,1,269,A,1
2016-12-11,47.237767,1,269,A,1
2016-12-12,4.222279,1,269,A,1
2016-12-13,9.678447,1,269,A,1
2016-12-14,3.259534,1,269,A,1
2016-12-15,10.845643,1,269,A,1
2016-12-16,2.975318,1,269,A,1
2016-12-17,4.061688,1,269,A,1
2016-12-18,2.63356,1,269,A,1
2016-12-19,3.468276,1,269,A,1
2016-12-20,6.870417,1,269,A,1
2016-12-21,55.398063,1,269,A,1
2016-12-22,37.176637,1,269,A,1
2016-12-23,63.456678,1,269,A,1
2016-12-24,64.371884,1,269,A,1
2016-12-25,0.0,0,269,A,1
2016-12-26,0.0,0,269,A,1
2016-12-27,22.555161,1,269,A,1
2016-12-28,1.8531,1,269,A,1
2016-12-29,2.595608,1,269,A,1
2016-12-30,12.681409,1,269,A,1
2016-12-31,44.841729,1,269,A,1
2017-01-01,51.974111,1,269,A,1
2017-01-02,7.386497,1,269,A,1
2017-01-03,56.521557,1,269,A,1
2017-01-04,58.078789,1,269,A,1
2017-01-05,4.32793,1,269,A,1
2017-01-06,9.168429,1,269,A,1
2017-01-07,22.158305,1,269,A,1
2017-01-08,1.702592,1,269,A,1
2017-01-09,32.713366,1,269,A,1
2017-01-10,20.682359,1,269,A,1
2017-01-11,0.0,0,269,A,1
2017-01-12,49.601443,1,269,A,1
2017-01-13,61.850153,1,269,A,1
2017-01-14,37.95461,1,269,A,1
2017-01-15,2.123898,1,269,A,1
2017-01-16,1.828956,1,269,A,1
2017-01-17,1.514227,1,269,A,1
2017-01-18,0.0,0,269,A,1
2017-01-19,0.0,0,269,A,1
